idBancoPregunta;Pregunta;
1;Los residuos peligrosos de su establecimiento de salud son entregados al municipio para su disposici—n final.;
2;Cantidad de los residuos peligrosos retirados de su establecimiento de salud que son entregados al municipio para su disposici—n final.;
3;Los residuos peligrosos de su establecimiento de salud son entregados a una entidad diferente al municipio para su disposici—n final.;
4;Cantidad de los residuos peligrosos de su establecimiento de salud que son entregados a una entidad diferente al municipio para su disposici—n final.;
5;Los residuos peligrosos de su establecimiento de salud son entregados de uso INEC;
6;Cantidad de los residuos peligrosos de su establecimiento de salud son entregados de uso INEC;
7;Residuos infecciosos recolectados;
8;Residuos corto punzantes Recolectados;
9;Residuos especiales Recolectados;
10;Residuos Peligrosos Recolectados Uso INEC;
11;El municipio o entidad diferente al municipio, tiene una tarifa diferenciada de acuerdo al tipo de gesti—n de los residuos peligrosos de su establecimiento de salud.;
12;El municipio o entidad diferente al municipio, informa sobre la gesti—n dada a los residuos peligrosos del establecimiento de salud;
13;El municipio o entidad diferente al municipio, realiza an‡lisis para verificar que la gesti—n de residuos peligrosos entregados por su establecimiento de acuerdo a la normativa sanitaria y ambiental.;
14;Residuos peligrosos recolectados para el uso del INEC;
15;Reporte de si los residuos peligrosos fueron dispuestos en celdas;
16;Detalle de la cantidad de residuos peligrosos dispuestos en celdas;
17;Reporte de si los residuos peligrosos fueron incinerados;
18;Detalle de la cantidad de residuos peligrosos incinerados;
19;Detalle de otras disposiciones dadas a los residuos peligrosos;
20;Capo de la disposici—n final de residuos peligrosos para uso del INEC;
;;
