idCantones;Canton;Codigo;idProvincia
1;Cuenca;101;1
2;Girón;102;1
3;Gualaceo;103;1
4;Santa Isabel;108;1
5;Sigsig;109;1
6;Paute;105;1
7;Nabón;104;1
8;Oña;110;1
9;San Fernando;107;1
10;Chordeleg;111;1
11;Guachapala;114;1
12;El Pan;112;1
13;Sevilla De Oro;113;1
14;Camilo Ponce Enríquez;115;1
15;Pucará;106;1
16;Guaranda;201;2
17;San Miguel;205;2
18;Chillanes;202;2
19;Echeandía;204;2
20;Las Naves;207;2
21;Chimbo;203;2
22;Caluma;206;2
23;Azogues;301;3
24;Cañar;303;3
25;Déleg;306;3
26;Biblián;302;3
27;El Tambo;305;3
28;La Troncal;304;3
29;Suscal;307;3
30;Tulcán;401;4
31;Espejo;403;4
32;Montúfar;405;4
33;San Pedro De Huaca;406;4
34;Mira;404;4
35;Bolívar;402;4
36;Latacunga;501;5
37;Pangua;503;5
38;Pujilí;504;5
39;Salcedo;505;5
40;Sigchos;507;5
41;La Maná;502;5
42;Saquisilí;506;5
43;Riobamba;601;6
44;Alausi;602;6
45;Colta;603;6
46;Chunchi;605;6
47;Guamote;606;6
48;Chambo;604;6
49;Cumandá;610;6
50;Guano;607;6
51;Penipe;609;6
52;Pallatanga;608;6
53;Machala;701;7
54;Pasaje;709;7
55;Arenillas;702;7
56;Piñas;710;7
57;Santa Rosa;712;7
58;Zaruma;713;7
59;El Guabo;706;7
60;Chilla;705;7
61;Marcabelí;708;7
62;Balsas;704;7
63;Atahualpa;703;7
64;Portovelo;711;7
65;Las Lajas;714;7
66;Huaquillas;707;7
67;Esmeraldas;801;8
68;Eloy Alfaro;802;8
69;San Lorenzo;805;8
70;Muisne;803;8
71;Quinindé;804;8
72;Atacames;806;8
73;Rioverde;807;8
74;Guayaquil;901;9
75;Milagro;902;9
76;El Empalme;903;9
77;San Jacinto De Yaguachi;904;9
78;Durán;905;9
79;Playas;906;9
80;Balzar;907;9
81;Daule;908;9
82;Naranjal;909;9
83;Coronel Marcelino Maridueña;910;9
84;El Triunfo;911;9
85;Salitre (urbina Jado);912;9
86;Naranjito;913;9
87;Balao;914;9
88;Colimes;915;9
89;Isidro Ayora;916;9
90;Nobol;917;9
91;Lomas De Sargentillo;918;9
92;Palestina;919;9
93;Pedro Carbo;920;9
94;Santa Lucía;921;9
95;General Antonio Elizalde (bucay);922;9
96;Samborondón;923;9
97;Alfredo Baquerizo Moreno (jujin);924;9
98;Simón Bolívar;925;9
99;Ibarra;1001;10
100;Antonio Ante;1002;10
101;Cotacachi;1003;10
102;Otavalo;1004;10
103;San Miguel De Urcuquí;1005;10
104;Pimampiro;1006;10
105;Loja;1101;11
106;Calvas;1102;11
107;Macará;1103;11
108;Paltas;1104;11
109;Puyango;1105;11
110;Saraguro;1106;11
111;Espíndola;1107;11
112;Catamayo;1108;11
113;Celica;1109;11
114;Zapotillo;1110;11
115;Pindal;1111;11
116;Quilanga;1112;11
117;Gonzanamá;1113;11
118;Chaguarpamba;1114;11
119;Olmedo;1115;11
120;Sozoranga;1116;11
121;Babahoyo;1201;12
122;Quevedo;1202;12
123;Urdaneta;1203;12
124;Vinces;1204;12
125;Ventanas;1205;12
126;Baba;1206;12
127;Montalvo;1207;12
128;Puebloviejo;1208;12
129;Mocache;1209;12
130;Buena Fé;1210;12
131;Valencia;1211;12
132;Quinsaloma;1212;12
133;Palenque;1213;12
134;Portoviejo;1301;13
135;Bolívar;1302;13
136;Chone;1303;13
137;Jipijapa;1304;13
138;Manta;1305;13
139;Sucre;1306;13
140;El Carmen;1307;13
141;Paján;1308;13
142;Rocafuerte;1309;13
143;Pichincha;1310;13
144;Flavio Alfaro;1311;13
145;Puerto López;1312;13
146;Junín;1313;13
147;Montecristi;1314;13
148;Jaramijó;1315;13
149;Tosagua;1316;13
150;Santa Ana;1317;13
151;Olmedo;1318;13
152;San Vicente;1319;13
153;Pedernales;1320;13
154;Jama;1321;13
155;24 De Mayo;1322;13
156;Morona;1401;14
157;Gualaquiza;1402;14
158;Limón Indanza;1403;14
159;Santiago;1404;14
160;Sucúa;1405;14
161;Taisha;1406;14
162;Huamboya;1407;14
163;Pablo Sexto;1408;14
164;Palora;1409;14
165;Tiwintza;1410;14
166;Logroño;1411;14
167;San Juan Bosco;1412;14
168;Tena;1501;15
169;Archidona;1502;15
170;El Chaco;1503;15
171;Quijos;1504;15
172;Carlos Julio Arosemena Tola;1505;15
173;Pastaza;1601;16
174;Mera;1602;16
175;Arajuno;1603;16
176;Santa Clara;1604;16
177;Quito;1701;17
178;Cayambe;1702;17
179;Mejía;1703;17
180;Rumiñahui;1704;17
181;San Miguel De Los Bancos;1705;17
182;Pedro Vicente Maldonado;1706;17
183;Puerto Quito;1707;17
184;Pedro Moncayo;1708;17
185;Ambato;1801;18
186;San Pedro De Pelileo;1802;18
187;Santiago De Píllaro;1803;18
188;Cevallos;1804;18
189;Mocha;1805;18
190;Tisaleo;1806;18
191;Baños De Agua Santa;1807;18
192;Patate;1808;18
193;Quero;1809;18
194;Zamora;1901;19
195;Yantzaza (yanzatza);1902;19
196;Chinchipe;1903;19
197;Centinela Del Cóndor;1904;19
198;Nangaritza;1905;19
199;El Pangui;1906;19
200;Paquisha;1907;19
201;Palanda;1908;19
202;Yacuambí;1909;19
203;San Cristóbal;2001;20
204;Santa Cruz;2002;20
205;Isabela;2003;20
206;Lago Agrio;2101;21
207;Shushufindi;2102;21
208;Cascales;2103;21
209;Gonzalo Pizarro;2104;21
210;Sucumbíos;2105;21
211;Cuyabeno;2106;21
212;Putumayo;2107;21
213;Aguarico;2201;22
214;Orellana;2202;22
215;La Joya De Los Sachas;2203;22
216;Loreto;2204;22
217;La Concordia;2301;23
218;Santo Domingo;3202;23
219;Salinas;2401;24
220;La Libertad;2402;24
221;Santa Elena;2403;24
