idClasesEs;ClasesEstablecimiento
1;Centro Clinico-quirurgico Ambulatorio (hospital Del Dia)
2;Centro De Especialidades
3;Centro De Salud A
4;Centro De Salud B
5;Centro De Salud C
6;Centros Especializados
7;Cl’nica General
8;Cl’nica Privada Especializada En Gineco-obstetricia
9;Cl’nica Privada Especializada En Pedi‡trica
10;Cl’nica Privada Especializada En Psiquiatr’a
11;Cl’nica Privada Especializada En Traumatolog’a
12;Consultorio General
13;Dispensario MŽdico (policl’nico)
14;Hospital B‡sico
15;Hospital De Especialidades
16;Hospital De Infectologia
17;Hospital Dermatol—gico (leprocomios)
18;Hospital General
19;Hospital Geri‡trico
20;Hospital Gineco-obstetrico
21;Hospital Neumol—gico (antituberculoso)
22;Hospital Oncol—gico
23;Hospital Pedi‡trico
24;Hospital Psiqui‡trico Y Sanatorio De Alc—holicos
25;Otras Cl’nicas Especializadas
26;Otros Establecimientos Sin Internaci—n
27;Puesto De Salud
28;Subcentro De Salud
