idEntidad;Entidad
1;Privados Con Fines De Lucro
2;Ministerio De Salud Pública
3;Instituto Ecuatoriano De Seguridad Social
4;Ministerio De Defensa Nacional
5;Privados Sin Fines De Lucro
6;Anexos Al Seguro Social
7;Ministerio De Justicia Y De Gobierno Y Policía
8;Universidades Y Politécnicas
9;Consejos Provinciales
10;Municipios
11;Ministerio De Educación
12;Junta De Beneficiencia De Guayaquil
13;Otros Públicos
14;Sociedad De Lucha Contra El Cáncer
15;Otros Ministerios
16;Cruz Roja Ecuatoriana
17;Fisco Misionales
18;Seguro Social Campesino
