idParroquiaSalud;idParroquias;idSalud;Parr_ubi
1;1;38;Cuenca
2;1;79;Cuenca
3;1;69;Cuenca
4;1;77;Cuenca
5;1;66;Cuenca
6;1;100;Cuenca
7;2;66;Girón
8;3;66;Gualaceo
9;4;66;Santa Isabel (Chaguarurco)
10;5;66;Sigsig
11;6;66;Paute
12;3;38;Gualaceo
13;1;39;Cuenca
14;1;20;Cuenca
15;1;8;Cuenca
16;7;113;Molleturo
17;8;113;Checa (Jidcay)
18;9;113;Quingeo
19;10;113;Sidcay
20;11;113;Nulti
21;12;113;Cumbe
22;13;113;Chaucha
23;14;113;Ricaurte
24;15;113;Sinincay
25;16;113;Tarqui
26;17;8;Nabón
27;18;8;San Felipe de Oña
28;19;8;San Fernando
29;20;8;Asunción
30;21;113;Cochapata
31;22;113;San Juan
32;23;113;Jadán
33;24;113;Mariano Moreno
34;25;113;Chordeleg
35;26;113;Principal
36;27;113;Guachapala
37;;113;Guarainag
38;29;113;El Pan
39;30;113;Palmas
40;31;113;San Vicente
41;32;30;Camilo Ponce Enríquez
42;33;8;Pucará
43;33;113;Pucará
44;34;8;Zhaglli (Shaglli)
45;35;113;Gima
46;36;113;San Bartolomé
47;37;113;Ludo
48;38;113;Sayausi
49;39;113;Valle
50;32;8;Camilo Ponce Enríquez
51;40;113;San Joaquín
52;41;113;Chiquintad
53;42;113;Octavio Cordero Palacios (Santa Rosa)
54;43;113;Santa Ana
55;44;113;Paccha
56;45;110;El Carmen de Pijilí
57;7;110;Molleturo
58;46;113;El Progreso (Cab. en Zhota)
59;47;113;Las Nieves (Chaya)
60;48;8;Abdón Calderón  (La Unión)
61;45;8;El Carmen de Pijilí
62;45;113;El Carmen de Pijilí
63;49;110;Susudel
64; ;8;San Rafael de Shurug
65;51;113;Sevilla de Oro
66;52;113;San Cristóbal (Carlos Ordóñez Lazo)
67;53;113;Amaluza
68;54;113;Victoria del Portete (Irquis)
69;55;113;Guel
70;56;113;Cuchil (Cutchil)
71;57;110;Chumblín
72;17;113;Nabón
73;1;113;Cuenca
74;1;49;Cuenca
75;1;29;Cuenca
76;1;54;Cuenca
77;1;11;Cuenca
78;14;52;Ricaurte
79;53;49;Amaluza
80;1;86;Cuenca
81;1;45;Cuenca
82;1;114;Cuenca
83;1;102;Cuenca
84;1;6;Cuenca
85;58;79;Guaranda
86;59;66;San Miguel
87;60;66;Chillanes
88;58;38;Guaranda
89;58;8;Guaranda
90;61;8;Echeandía
91;62;113;Facundo Vela
92;58;113;Guaranda
93;63;113;Las Naves
94;64;113;San Lorenzo
95;65;113;Simiátug
96;66;113;Salinas
97;67;113;San Simón (Yacoto)
98;68;113;San José del Tambo (Tambopamba)
99;69;8;San José de Chimbo
100;70;8;Caluma
101;71;113;Magdalena (Chapacoto)
102;72;113;Asunción (Asancoto)
103;73;113;Telimbela
104;74;113;Balsapamba
105;75;113;Santiago
106;76;113;San Pablo  (San Pablo de Atenas)
107;77;113;San Vicente
108;78;113;Bilován
109;79;113;Santa Fé (Santa Fé)
110;63;110;Las Naves
111;61;113;Echeandía
112;80;113;San Luis de Pambil
113;60;113;Chillanes
114;59;113;San Miguel
115;81;113;Julio E. Moreno (Catanahuán Grande)
116;58;75;Guaranda
117;58;7;Guaranda
118;59;15;San Miguel
119;58;50;Guaranda
120;82;79;Azogues
121;83;66;Cañar
122;82;30;Azogues
123;84;20;Déleg
124;85;113;Pindilig
125;86;110;Solano
126;87;113;Rivera
127;88;113;Javier Loyola (Chuquipata)
128;89;8;Guapán
129;82;113;Azogues
130;90;113;Cojitambo
131;91;113;Luis Cordero
132;92;113;San Miguel
133;89;110;Guapán
134;93;8;Biblián
135;94;113;Nazón (Cab. en Pampa de Domínguez)
136;93;110;Biblián
137;95;8;El Tambo
138;96;113;General Morales (Socarte)
139;97;113;Gualleturo
140;98;113;Manuel J. Calle
141;99;8;Suscal
142;100;8;Ingapirca
143;101;113;Chontamarca
144;102;113;Pancho Negro
145;103;8;Honorato Vásquez (Tambo Viejo)
146;104;113;Ducur
147;105;110;San Antonio
148;106;113;Ventura
149;107;113;Chorocopte
150;83;8;Cañar
151;83;110;Cañar
152;95;110;El Tambo
153;108;113;Juncal
154;109;110;La Troncal
155;109;113;La Troncal
156;106;110;Ventura
157;100;110;Ingapirca
158;110;113;Taday
159;96;110;General Morales (Socarte)
160;82;110;Azogues
161;111;113;Zhud
162;107;110;Chorocopte
163;103;110;Honorato Vásquez (Tambo Viejo)
164;100;113;Ingapirca
165;109;8;La Troncal
166;92;110;San Miguel
167;112;110;San Francisco de Sageo
168;82;64;Azogues
169;82;7;Azogues
170;89;49;Guapán
171;83;6;Cañar
172;83;54;Cañar
173;82;54;Azogues
174;109;6;La Troncal
175;113;79;Tulcán
176;114;66;El Ángel
177;115;66;San Gabriel
178;113;8;Tulcán
179;116;113;El Carmelo (El Pun)
180;117;113;Julio Andrade (Orejuela)
181;118;113;Maldonado
182;119;113;Tufiño
183;120;113;Urbina (Taya)
184;121;113;Huaca
185;122;110;El Goaltal
186;123;8;Jijón y Caamaño (Cab. en Río Blanco)
187;124;113;Juan Montalvo (San Ignacio de Quil)
188;125;113;Concepción
189;126;113;La Libertad (Alizo)
190;127;113;Mira (Chontahuasi)
191;128;113;San Isidro
192;129;113;San Vicente de Pusir
193;130;113;Cristóbal Colón
194;131;113;Monte Olivo
195;132;113;Bolívar
196;133;113;La Paz
197;134;113;García Moreno
198;135;113;San Rafael
199;136;113;El Chical
200;137;113;Santa Martha de Cuba
201;138;113;Pioter
202;139;113;Los Andes
203;140;113;Chitán de Navarrete
204;141;113;Fernández Salvador
205;134;110;García Moreno
206;127;110;Mira (Chontahuasi)
207;142;113;Piartal
208;123;113;Jijón y Caamaño (Cab. en Río Blanco)
209;123;110;Jijón y Caamaño (Cab. en Río Blanco)
210;113;6;Tulcán
211;113;19;Tulcán
212;113;17;Tulcán
213;114;111;El Ángel
214;115;111;San Gabriel
215;113;25;Tulcán
216;113;34;Tulcán
217;143;38;La Matriz
218;143;75;La Matriz
219;143;79;La Matriz
220;144;66;El Corazón
221;145;66;Pujilí
222;146;66;San Miguel
223;147;8;Latacunga
224;148;113;Guaitacama (Guaytacama)
225;149;113;Mulaló
226;150;113;Las Pampas
227;151;113;Joseguango Bajo
228;152;113;Pucayacu
229;153;113;San Juan de Pastocalle
230;154;113;Sigchos
231;155;113;Toacaso
232;156;113;Belisario Quevedo (Guanailín)
233;157;113;Tanicuchí
234;158;113;Poaló
235;159;113;Alaques (Alaquez)
236;160;113;11 de Noviembre (Ilinchisi)
237;161;113;Moraspungo
238;162;113;Angamarca
239;163;8;La Maná
240;164;113;Pilaló
241;165;113;Tingo
242;166;68;Zumbahua
243;167;113;La Victoria
244;168;113;Guasaganda (Cab. en Guasaganda)
245;169;113;Mulalillo
246;170;113;Antonio José Holguén  (Santa Lucía)
247;171;113;Cusubamba
248;172;113;Mulliquindil (Santa Ana)
249;173;113;Pansaleo
250;171;110;Cusubamba
251;146;113;San Miguel
252;174;8;Saquisilí
253;175;113;Chugchillán
254;176;113;Isinliví (Isinliví)
255;163;113;La Maná
256;147;113;Latacunga
257;177;113;Ramón Campaña
258;178;113;Pinllopata
259;145;113;Pujilí
260;164;110;Pilaló
261;179;113;Guangaje
262;180;113;Canchagua
263;147;56;Latacunga
264;147;54;Latacunga
265;147;52;Latacunga
266;143;39;La Matriz
267;147;114;Latacunga
268;157;49;Tanicuchí
269;147;49;Latacunga
270;181;38;Lizarzaburu
271;182;79;Veloz
272;181;75;Lizarzaburu
273;;96;Velasco
274;;77;Velasco
275;184;66;Alausí
276;185;66;Villa La Unión (Cajabamba)
277;186;66;Chunchi
278;187;66;Guamote
279;181;72;Lizarzaburu
280;188;8;Riobamba
281;189;113;Chambo
282;190;113;Licto
283;191;113;Flores
284;192;113;Punín
285;193;113;San Luis
286;;113;Quimiag
287;22;113;San Juan
288;188;113;Riobamba
289;196;113;Calpi
290;197;113;Pungalá
291;189;110;Chambo
292;193;110;San Luis
293;198;110;Cubijíes
294;199;113;Tixán
295;200;113;Sibambe
296;201;113;Achupallas
297;202;113;Huigra
298;203;113;Cumandá
299;204;113;Guasuntos
300;205;8;Guano
301;206;113;Penipe
302;207;113;San Andrés
303;208;113;San Isidro de Patulú
304;205;113;Guano
305;209;113;Matus
306;206;110;Penipe
