idParroquiaSalud;idParroquia;idSalud
1;1;63
2;1;36
3;1;114
4;1;66
5;1;94
6;1;29
7;1;35
8;1;114
9;1;52
10;1;100
11;1;20
12;1;14
13;1;17
14;1;9
15;1;111
16;1;28
17;1;14
18;1;26
19;1;65
20;1;76
21;1;75
22;1;10
23;1;47
24;1;28
25;1;43
26;1;74
27;1;15
28;1;45
29;1;16
30;1;120
31;1;56
32;1;120
33;1;57
34;1;57
35;1;87
36;2;103
37;2;72
38;3;18
39;3;49
40;3;27
41;3;82
42;4;90
43;4;30
44;4;29
45;4;29
46;4;53
47;4;110
48;5;63
49;5;89
50;5;49
51;5;92
52;5;107
53;6;115
54;6;21
55;6;10
56;6;55
57;7;116
58;7;43
59;7;109
60;8;119
61;9;7
62;9;12
63;10;115
64;10;35
65;10;48
66;11;25
67;12;91
68;12;3
69;13;80
70;14;82
71;14;19
72;14;91
73;14;79
74;15;17
75;15;29
76;16;99
77;17;59
78;17;103
79;17;107
80;18;104
81;18;1
82;18;10
83;19;80
84;20;42
85;20;53
86;21;97
87;21;65
88;22;18
89;22;44
90;22;98
91;22;63
92;23;106
93;23;41
94;24;18
95;25;56
96;26;94
97;27;9
98;28;30
99;29;11
100;30;18
101;30;88
102;31;30
103;31;67
104;31;33
105;32;47
106;32;85
107;33;106
108;33;50
109;34;66
110;35;19
111;36;60
112;37;5
113;37;103
114;38;18
115;39;85
116;39;17
117;39;8
118;40;36
119;41;71
120;42;78
121;43;16
122;44;67
123;45;55
124;45;107
125;45;19
126;46;52
127;46;47
128;47;95
129;47;110
130;47;31
131;48;55
132;49;73
133;51;41
134;51;104
135;53;78
136;53;77
137;55;51
138;56;111
139;57;114
140;58;100
141;58;5
142;58;6
143;58;28
144;58;43
145;58;72
146;58;49
147;58;45
148;58;34
149;58;82
150;58;11
151;58;2
152;58;110
153;58;61
154;59;66
155;59;21
156;59;102
157;59;12
158;59;90
159;59;41
160;59;48
161;59;4
162;59;119
163;59;68
164;59;15
165;59;114
166;59;36
167;62;59
168;63;17
169;63;93
170;63;42
171;64;74
172;64;10
173;64;81
174;64;21
175;67;2
176;67;48
177;70;51
178;70;70
179;70;68
180;70;97
181;71;108
182;71;112
183;72;18
184;73;32
185;74;41
186;74;42
187;75;44
188;75;119
189;75;36
190;75;2
191;75;22
192;77;71
193;77;49
194;77;40
195;78;43
196;78;96
197;80;34
198;82;8
199;82;12
200;82;17
201;82;17
202;82;4
203;82;114
204;82;32
205;82;48
206;82;14
207;82;107
208;82;74
209;85;110
210;85;70
211;86;116
212;87;96
213;87;120
214;89;115
215;89;1
216;89;71
217;89;91
218;91;4
219;91;36
220;93;66
221;93;17
222;93;31
223;93;112
