idParroquias;Parroquia;idCanton
1;Cuenca;1
2;Girón;2
3;Gualaceo;3
4;Santa Isabel (Chaguarurco);4
5;Sigsig;5
6;Paute;6
7;Molleturo;1
8;Checa (Jidcay);1
9;Quingeo;1
10;Sidcay;1
11;Nulti;1
12;Cumbe;1
13;Chaucha;1
14;Ricaurte;1
15;Sinincay;1
16;Tarqui;1
17;Nabón;7
18;San Felipe de Oña;8
19;San Fernando;9
20;Asunción;2
21;Cochapata;7
22;San Juan;3
23;Jadán;3
24;Mariano Moreno;3
25;Chordeleg;10
26;Principal;10
27;Guachapala;11
28;Guarainag;6
29;El Pan;12
30;Palmas;13
31;San Vicente;12
32;Camilo Ponce Enríquez;14
33;Pucará;15
34;Zhaglli (Shaglli);4
35;Gima;5
36;San Bartolomé;5
37;Ludo;5
38;Sayausi;1
39;Valle;1
40;San Joaquín;1
41;Chiquintad;1
42;Octavio Cordero Palacios (Santa Rosa);1
43;Santa Ana;1
44;Paccha;1
45;El Carmen de Pijilí;14
46;El Progreso (Cab. en Zhota);7
47;Las Nieves (Chaya);7
48;Abdón Calderón  (La Unión);4
49;Susudel;8
50;San Rafael de Shurug;15
51;Sevilla de Oro;13
52;San Cristóbal (Carlos Ordóñez Lazo);6
53;Amaluza;13
54;Victoria del Portete (Irquis);1
55;Guel;5
56;Cuchil (Cutchil);5
57;Chumblín;9
58;Guaranda;16
59;San Miguel;17
60;Chillanes;18
61;Echeandía;19
62;Facundo Vela;16
63;Las Naves;20
64;San Lorenzo;16
65;Simiátug;16
66;Salinas;16
67;San Simón (Yacoto);16
68;San José del Tambo (Tambopamba);18
69;San José de Chimbo;21
70;Caluma;22
71;Magdalena (Chapacoto);21
72;Asunción (Asancoto);21
73;Telimbela;21
74;Balsapamba;17
75;Santiago;17
76;San Pablo  (San Pablo de Atenas);17
77;San Vicente;17
78;Bilován;17
79;Santa Fé (Santa Fé);16
80;San Luis de Pambil;16
81;Julio E. Moreno (Catanahuán Grande);16
82;Azogues;23
83;Cañar;24
84;Déleg;25
85;Pindilig;23
86;Solano;25
87;Rivera;23
88;Javier Loyola (Chuquipata);23
89;Guapán;23
90;Cojitambo;23
91;Luis Cordero;23
92;San Miguel;23
93;Biblián;26
94;Nazón (Cab. en Pampa de Domínguez);26
95;El Tambo;27
96;General Morales (Socarte);24
97;Gualleturo;24
98;Manuel J. Calle;28
99;Suscal;29
100;Ingapirca;24
101;Chontamarca;24
102;Pancho Negro;28
103;Honorato Vásquez (Tambo Viejo);24
104;Ducur;24
105;San Antonio;24
106;Ventura;24
107;Chorocopte;24
108;Juncal;24
109;La Troncal;28
110;Taday;23
111;Zhud;24
112;San Francisco de Sageo;26
113;Tulcán;30
114;El Ángel;31
115;San Gabriel;32
116;El Carmelo (El Pun);30
117;Julio Andrade (Orejuela);30
118;Maldonado;30
119;Tufiño;30
120;Urbina (Taya);30
121;Huaca;33
122;El Goaltal;31
123;Jijón y Caamaño (Cab. en Río Blanco);34
124;Juan Montalvo (San Ignacio de Quil);34
125;Concepción;34
126;La Libertad (Alizo);31
127;Mira (Chontahuasi);34
128;San Isidro;31
129;San Vicente de Pusir;35
130;Cristóbal Colón;32
131;Monte Olivo;35
132;Bolívar;35
133;La Paz;32
134;García Moreno;35
135;San Rafael;35
136;El Chical;30
137;Santa Martha de Cuba;30
138;Pioter;30
139;Los Andes;35
140;Chitán de Navarrete;32
141;Fernández Salvador;32
142;Piartal;32
143;La Matriz;36
144;El Corazón;37
145;Pujilí;38
146;San Miguel;39
147;Latacunga;36
148;Guaitacama (Guaytacama);36
149;Mulaló;36
150;Las Pampas;40
151;Joseguango Bajo;36
152;Pucayacu;41
153;San Juan de Pastocalle;36
154;Sigchos;40
155;Toacaso;36
156;Belisario Quevedo (Guanailín);36
157;Tanicuchí;36
158;Poaló;36
159;Alaques (Alaquez);36
160;11 de Noviembre (Ilinchisi);36
161;Moraspungo;37
162;Angamarca;38
163;La Maná;41
164;Pilaló;38
165;Tingo;38
166;Zumbahua;38
167;La Victoria;38
168;Guasaganda (Cab. en Guasaganda);41
169;Mulalillo;39
170;Antonio José Holguén  (Santa Lucía);39
171;Cusubamba;39
172;Mulliquindil (Santa Ana);39
173;Pansaleo;39
174;Saquisilí;42
175;Chugchillán;40
176;Isinliví (Isinliví);40
177;Ramón Campaña;37
178;Pinllopata;37
179;Guangaje;38
180;Canchagua;42
181;Lizarzaburu;43
182;Veloz;43
183;Velasco;43
184;Alausí;44
185;Villa La Unión (Cajabamba);45
186;Chunchi;46
187;Guamote;47
188;Riobamba;43
189;Chambo;48
190;Licto;43
191;Flores;43
192;Punín;43
193;San Luis;43
194;Quimiag;43
195;San Juan;43
196;Calpi;43
197;Pungalá;43
198;Cubijíes;43
199;Tixán;44
200;Sibambe;44
201;Achupallas;44
202;Huigra;44
203;Cumandá;49
204;Guasuntos;44
205;Guano;50
206;Penipe;51
207;San Andrés;50
208;San Isidro de Patulú;50
209;Matus;51
210;Columbe;45
211;Juan de Velasco (Pangor);45
212;Pallatanga;52
213;Palmira;47
214;Cebadas;47
215;Capzol;46
216;Gonzol;46
217;Ilapo;50
218;San Gerardo de Pacaicaguán;50
219;Cacha (Cab. en Machángara);43
220;Multitud;44
221;Compud;46
222;Llagos;46
223;Santiago de Quito (Cab. en San Antonio de Quito);45
224;Sevilla;44
225;Machala;53
226;Pasaje;54
227;Arenillas;55
228;Piñas;56
229;Santa Rosa;57
230;Zaruma;58
231;El Guabo;59
232;Tendales (Cab. en Puerto Tendales);59
233;Barbones (Sucre);59
234;Chilla;60
235;Uzhcurrumi;54
236;Buenavista;54
237;La Peaña;54
238;Progreso;54
239;Casacay;54
240;Marcabelí;61
241;Moromoro (Cab. en El Vado);56
242;Balsas;62
243;Capiro (Cab. en La Capilla de Capiro);56
244;La Bocana;56
245;San Roque (Ambrosio Maldonado);56
246;Saracay;56
247;Victoria;57
248;Chacras;55
249;Palmales;55
250;Ayapamba;63
251;Guizhaguiña;58
252;Paccha;63
253;Huertas;58
254;Malvas;58
255;Portovelo;64
256;Salatí;64
257;Curtincapa;64
258;Bellavista;57
259;San Antonio;57
260;La Avanzada;57
261;Cañaquemada;54
262;Guanazán;58
263;Jambelí;57
264;Bellamaría;57
265;San Isidro;65
266;Huaquillas;66
267;Piedras;56
268;Salvias;58
269;La Iberia;59
270;La Victoria;65
271;Esmeraldas;67
272;Valdez (Limones);68
273;San Lorenzo;69
274;Muisne;70
275;Rosa Zárate (Quinindé);71
276;Borbon;68
277;Atacames;72
278;Rocafuerte;73
279;Chinca;67
280;La Unión;72
281;Majua;67
282;Rioverde;73
283;San Mateo;67
284;Tabiazo;67
285;Tachina;67
286;Tonchigue;72
287;Vuelta Larga;67
288;Chontaduro;73
289;Camarones (Cab. en San Vicente);67
290;Montalvo (Cab. en Horqueta);73
291;Mataje (Cab. en Santander);69
292;Súa  (Cab. en La Bocana);72
293;Colón Eloy del María;68
294;Ancón (Pichangal) (Cab. en Palma Real);69
295;Calderón;69
296;5 de Junio (Cab. en Uimbi);69
297;Concepción;69
298;La Tola;68
299;Luis Vargas Torres (Cab. en Playa de Oro);68
300;Maldonado;68
301;San Francisco de Onzole;68
302;Chumundé;73
303;San Javier de Cachaví (Cab. en San Javier);69
304;Santa Rita;69
305;Urbina;69
306;San Gregorio;70
307;Bolívar;70
308;Daule;70
309;Galera;70
310;San Francisco;70
311;San José de Chamanga (Cab. en Chamanga);70
312;Cube;71
313;Malimpia;71
314;Viche;71
315;La Unión;71
316;Atahualpa (Cab. en Camarones);68
317;Selva Alegre;68
318;Santo Domingo de Onzole;68
319;Crnel. Carlos Concha Torres (Cab. en Huele);67
320;Tululbí (Cab. en Ricaurte);69
321;Lagarto;73
322;Telembi;68
323;Chura (Chancama) (Cab. en El Yerbero);71
324;Tambillo;69
325;Guayaquil;74
326;Milagro;75
327;Velasco Ibarra (El Empalme);76
328;San Jacinto de Yaguachi;77
329;José Luis Tamayo (Muey);219
330;Eloy Alfaro (Durán);78
331;General Villamil (Playas);79
332;Tenguel;74
333;Balzar;80
334;Daule;81
335;Naranjal;82
336;La Libertad;220
337;San José de Ancón;221
338;Manglaralto;221
339;Coronel Marcelino Maridueña (San Carlos);83
340;El Triunfo;84
341;El Salitre (Las Ramas);85
342;Salinas;219
343;Naranjito;86
344;Juan Gómez Rendón (Progreso);74
345;Posorja;74
346;Puná;74
347;Balao;87
348;Colimes;88
349;Isidro Ayora;89
350;Narcisa de Jesús (Nobol);90
351;Los Lojas (Enrique Baquerizo Moreno);81
352;Lomas de Sargentillo;91
353;Palestina;92
354;Pedro Carbo;93
355;Santa Lucía;94
356;Guayas (Pueblo Nuevo);76
357;General Antonio Elizalde (Bucay);95
358;Mariscal Sucre (Huaques);75
359;Taura;82
360;Samborondón;96
361;Tarifa;96
362;Santa Elena;221
363;Chanduy;221
364;Atahualpa;221
365;Colonche;221
366;Junquillal;85
367;Gral. Vernaza (Dos Esteros);85
368;La Victoria (Ñauza);85
369;Alfredo Baquerizo Moreno (Jujín);97
370;Simón Bolívar;98
371;Gral. Pedro J. Montero (Boliche);77
372;Yaguachi Viejo (Cone);77
373;Anconcito;219
374;Limonal;81
375;Valle de la Virgen;93
376;Laurel;81
377;Sabanilla;93
378;Crnel.Lorenzo de Garaicoa (Pedregal);98
379;Morro;74
380;Roberto Astudillo (Cab. en Cruce de Venecia);75
381;Santa Rosa de Flandes;82
382;Jesús María;82
383;Virgen de Fátima;77
384;San Miguel de Ibarra, Cabecera Cantonal y Capital Provincial;99
385;Atuntaqui;100
386;Cotacachi;101
387;Otavalo;102
388;Ambuquí;99
389;Cahuasquí;103
390;Carolina;99
391;La Esperanza;99
392;Lita;99
393;Mariano Acosta;104
394;Pablo Arenas;103
395;Pimampiro;104
396;San Antonio;99
397;Tumbabiro;103
398;Urcuquí;103
399;La Merced de Buenos Aires;103
400;Angochagua;99
401;San Francisco de Sigsipamba;104
402;Chugá;104
403;San Blas;103
404;Salinas;99
405;San José de Chaltura;100
406;San Roque;100
407;San Francisco de Natabuela;100
408;Imbaya (San Luis de Cobuendo);100
409;6 de Julio de Cuellaje (Cab. en Cuellaje);101
410;Apuela;101
411;García Moreno (Llurimagua);101
412;Imantag;101
413;Peñaherrera;101
414;Vacas Galindo (El Churo) (Cab.en San Miguel Alto);101
415;Quiroga;101
416;San Pablo;102
417;San Rafael;102
418;Selva Alegre (Cab. en San Miguel de Pamplona);102
419;San Juan de Ilumán;102
420;Eugenio Espejo (Calpaquí);102
421;San José de Quichinche;102
422;Dr. Miguel Egas Cabezas (Peguche);102
423;González Suárez;102
424;Plaza Gutiérrez (Calvario);101
425;Pataquí;102
426;Loja;105
427;Cariamanga;106
428;Macará;107
429;Catacocha;108
430;Alamor;109
431;Vilcabamba  (Victoria);105
432;Saraguro;110
433;Amaluza;111
434;Catamayo (La Toma);112
435;Malacatos (Valladolid);105
436;San Lucas;105
437;Yangana (Arsenio Castillo);105
438;Chuquiribamba;105
439;El Cisne;105
440;El Tambo;112
441;San Pedro de la Bendita;112
442;Zambi;112
443;Santiago;105
444;Taquil (Miguel Riofrío);105
445;Gualel;105
446;Guayquichuma;112
447;Jimbilla;105
448;El Lucero;106
449;Celica;113
450;Zapotillo;114
451;12 de Diciembre (Cab. en Achiotes);115
452;Pindal;115
453;Cruzpamba (Cab. en Carlos Bustamante);113
454;Pozul (San Juan de Pozul);113
455;Sabanilla;113
456;Jimbura;111
457;Quilanga;116
458;Gonzanamá;117
459;Changaimina (La Libertad);117
460;Purunuma (Eguiguren);117
461;Sacapalca;117
462;Nambacola;117
463;San Antonio de Las Aradas (Cab. en Las Aradas);116
464;Sabiango (La Capilla);107
465;Larama;107
466;La Victoria;107
467;Chaguarpamba;118
468;Olmedo;151
469;Cangonamá;108
470;Orianga;108
471;Buenavista;118
472;El Rosario;118
473;Lauro Guerrero;108
474;Casanga;108
475;Selva Alegre;110
476;La Tingue;119
477;Santa Rufina;118
478;Guachanamá;108
479;Mangahurco;114
480;El Limo (Mariana de Jesús);109
481;Vicentino;109
482;Paletillas;114
483;Ciano;109
484;Manú;110
485;San Antonio de Qumbe (Cumbe);110
486;Urdaneta (Paquishapa);110
487;El Paraíso de Celén;110
488;San Sebastián de Yúluc;110
489;Tacamoros;120
490;San Pablo de Tenta;110
491;Nueva Fátima;120
492;Santa Teresita;111
493;Sozoranga;120
494;San Antonio;108
495;Mercadillo;109
496;Chaquinal;115
497;Babahoyo;121
498;Quevedo;122
499;Ricaurte;123
500;Vinces;124
501;La Unión;121
502;Ventanas;125
503;Baba;126
504;Febres Cordero (Las Juntas) (Cab. en Mata de Cacao);121
505;Pimocha;121
506;Montalvo;127
507;Caracol;121
508;Guare;126
509;Isla de Bejuca;126
510;San Juan;128
511;Puerto Pechiche;128
512;Puebloviejo;128
513;Mocache;129
514;San Carlos;122
515;San Jacinto de Buena Fé;130
516;Valencia;131
517;Quinsaloma;132
518;Palenque;133
519;Antonio Sotomayor (Cab. en Playas de Vinces);124
520;Catarama;123
521;Zapotal;125
522;Patricia Pilar;130
