idProvincias;Provincia;CodigoProvincia;LongitudProvincia;LatitudProvincia;idRegion
1;AZUAY;1;-2.883.333;-79;2
2;BOLIVAR;2;-1.6;-79;2
3;CANIAR;3;-2.733.333;-78.833.333;2
4;CARCHI;4;0.75;-78.083.333;2
5;COTOPAXI;5;-0.680556;-78.437.778;2
6;CHIMBORAZO;6;-1.469.167;-788.175;2
7;EL ORO;7;-3.266.669;-799.667;1
8;ESMERALDAS;8;0.95;-79.666.667;1
9;GUAYAS;9;-2.2;-799.667;1
10;IMBABURA;10;0.35;-78.133.333;2
11;LOJA;11;-3.990.556;-79.205;2
12;LOS RIOS;12;-1.766.669;-79.45;1
13;MANABI;13;-1.052.219;-804.506;1
14;MORONA SANTIAGO;14;-2.366.667;-78.133.333;3
15;NAPO;15;0.989;-778.159;3
16;PASTAZA;16;-1.066.667;-78.001.111;3
17;PICHINCHA;17;-0.25;-78.583.333;2
18;TUNGURAHUA;18;-1.233.333;-78.616.667;2
19;ZAMORA CHINCHIPE;19;-2.883.333;-79;3
20;GALAPAGOS;20;1.39;-92;4
21;SUCUMBIOS;21;-0.083333;-76.883.333;3
22;ORELLANA;22;-0.933333;-75.666.667;3
23;SANTO DOMINGO DE LOS TSACHILAS;23;-0.333333;-79.25;2
24;SANTA ELENA;24;-22.267;-808.583;1
25;ZONAS NO DELIMITADAS;90;;;
