idRespuesta;idPreguntaRespuesta;IdSalud;Respuesta
1;1;1;1
2;2;1;6249
3;3;1;1
4;4;1;2472
5;5;1;1
6;6;1;7983
7;7;1;1511
8;8;1;6876
9;9;1;1283
10;10;1;7977
11;11;1;1
12;12;1;1
13;13;1;1
14;14;1;1
15;15;1;1
16;16;1;5134
17;17;1;1
18;18;1;2247
19;19;1;1
20;20;1;4625
21;1;2;1
22;2;2;8328
23;3;2;1
24;4;2;4463
25;5;2;1
26;6;2;3661
27;7;2;5638
28;8;2;6712
29;9;2;5950
30;10;2;3730
31;11;2;1
32;12;2;1
33;13;2;1
34;14;2;1
35;15;2;1
36;16;2;4920
37;17;2;1
38;18;2;3972
39;19;2;1
40;20;2;4627
41;1;3;1
42;2;3;5843
43;3;3;1
44;4;3;6103
45;5;3;1
46;6;3;6546
47;7;3;6937
48;8;3;6228
49;9;3;2250
50;10;3;3115
51;11;3;1
52;12;3;1
53;13;3;1
54;14;3;1
55;15;3;1
56;16;3;4736
57;17;3;1
58;18;3;4352
59;19;3;1
60;20;3;3619
61;1;4;1
62;2;4;3799
63;3;4;1
64;4;4;5495
65;5;4;1
66;6;4;1264
67;7;4;2583
68;8;4;3377
69;9;4;5274
70;10;4;4943
71;11;4;1
72;12;4;1
73;13;4;1
74;14;4;1
75;15;4;1
76;16;4;6673
77;17;4;1
78;18;4;4825
79;19;4;1
80;20;4;1296
81;1;5;1
82;2;5;1400
83;3;5;1
84;4;5;2109
85;5;5;1
86;6;5;1067
87;7;5;6431
88;8;5;7304
89;9;5;5419
90;10;5;2640
91;11;5;1
92;12;5;1
93;13;5;1
94;14;5;1
95;15;5;1
96;16;5;2379
97;17;5;1
98;18;5;8591
99;19;5;1
100;20;5;1049
101;1;6;1
102;2;6;7313
103;3;6;1
104;4;6;8665
105;5;6;1
106;6;6;7950
107;7;6;1842
108;8;6;3099
109;9;6;1080
110;10;6;4786
111;11;6;1
112;12;6;1
113;13;6;1
114;14;6;1
115;15;6;1
116;16;6;3808
117;17;6;1
118;18;6;1769
119;19;6;1
120;20;6;4721
121;1;7;1
122;2;7;3717
123;3;7;1
124;4;7;6593
125;5;7;1
126;6;7;1583
127;7;7;2187
128;8;7;3512
129;9;7;7589
130;10;7;7026
131;11;7;1
132;12;7;1
133;13;7;1
134;14;7;1
135;15;7;1
136;16;7;6650
137;17;7;1
138;18;7;3208
139;19;7;1
140;20;7;7729
141;1;8;1
142;2;8;8704
143;3;8;1
144;4;8;5784
145;5;8;1
146;6;8;1173
147;7;8;1089
148;8;8;2557
149;9;8;5971
150;10;8;7719
151;11;8;1
152;12;8;1
153;13;8;1
154;14;8;1
155;15;8;1
156;16;8;1202
157;17;8;1
158;18;8;3315
159;19;8;1
160;20;8;7764
161;1;9;1
162;2;9;3868
163;3;9;1
164;4;9;5290
165;5;9;1
166;6;9;4720
167;7;9;3393
168;8;9;5168
169;9;9;3861
170;10;9;2645
171;11;9;1
172;12;9;1
173;13;9;1
174;14;9;1
175;15;9;1
176;16;9;1298
177;17;9;1
178;18;9;4080
179;19;9;1
180;20;9;8751
181;1;10;1
182;2;10;5710
183;3;10;1
184;4;10;4680
185;5;10;1
186;6;10;8762
187;7;10;3864
188;8;10;3410
189;9;10;8312
190;10;10;3964
191;11;10;1
192;12;10;1
193;13;10;1
194;14;10;1
195;15;10;1
196;16;10;5872
197;17;10;1
198;18;10;4156
199;19;10;1
200;20;10;3676
201;1;11;1
202;2;11;6967
203;3;11;1
204;4;11;5368
205;5;11;1
206;6;11;7960
207;7;11;5180
208;8;11;4693
209;9;11;2169
210;10;11;4998
211;11;11;1
212;12;11;1
213;13;11;1
214;14;11;1
215;15;11;1
216;16;11;7957
217;17;11;1
218;18;11;2839
219;19;11;1
220;20;11;2440
221;1;12;1
222;2;12;7562
223;3;12;1
224;4;12;7635
225;5;12;1
226;6;12;2274
227;7;12;2715
228;8;12;1560
229;9;12;8396
230;10;12;2432
231;11;12;1
232;12;12;1
233;13;12;1
234;14;12;1
235;15;12;1
236;16;12;4576
237;17;12;1
238;18;12;7802
239;19;12;1
240;20;12;5490
241;1;13;1
242;2;13;6550
243;3;13;1
244;4;13;5135
245;5;13;1
246;6;13;3554
247;7;13;1056
248;8;13;1389
249;9;13;8357
250;10;13;7863
251;11;13;1
252;12;13;1
253;13;13;1
254;14;13;1
255;15;13;1
256;16;13;3381
257;17;13;1
258;18;13;2027
259;19;13;1
260;20;13;4579
261;1;14;1
262;2;14;3121
263;3;14;1
264;4;14;8005
265;5;14;1
266;6;14;3682
267;7;14;6365
268;8;14;2296
269;9;14;5565
270;10;14;6046
271;11;14;1
272;12;14;1
273;13;14;1
274;14;14;1
275;15;14;1
276;16;14;3380
277;17;14;1
278;18;14;2987
279;19;14;1
280;20;14;2310
281;1;15;1
282;2;15;1564
283;3;15;1
284;4;15;6219
285;5;15;1
286;6;15;6998
287;7;15;8047
288;8;15;5579
289;9;15;2296
290;10;15;2450
291;11;15;1
292;12;15;1
293;13;15;1
294;14;15;1
295;15;15;1
296;16;15;7391
297;17;15;1
298;18;15;7061
299;19;15;1
300;20;15;2568
301;1;16;1
302;2;16;2131
303;3;16;1
304;4;16;6167
305;5;16;1
306;6;16;5676
307;7;16;3257
308;8;16;3848
309;9;16;7093
310;10;16;4667
311;11;16;1
312;12;16;1
313;13;16;1
314;14;16;1
315;15;16;1
316;16;16;6211
317;17;16;1
318;18;16;3835
319;19;16;1
320;20;16;6674
321;1;17;1
322;2;17;3390
323;3;17;1
324;4;17;3583
325;5;17;1
326;6;17;3370
327;7;17;1056
328;8;17;7126
329;9;17;4832
330;10;17;987
331;11;17;1
332;12;17;1
333;13;17;1
334;14;17;1
335;15;17;1
336;16;17;2629
337;17;17;1
338;18;17;2778
339;19;17;1
340;20;17;2649
341;1;18;1
342;2;18;7205
343;3;18;1
344;4;18;4295
345;5;18;1
346;6;18;2475
347;7;18;5079
348;8;18;5353
349;9;18;5929
350;10;18;7047
351;11;18;1
352;12;18;1
353;13;18;1
354;14;18;1
355;15;18;1
356;16;18;4595
357;17;18;1
358;18;18;8323
359;19;18;1
360;20;18;8481
