idSalud;idClasesTipo;idEntidadSector
1;1;1
2;1;2
3;1;3
4;2;4
5;3;5
6;3;6
7;3;7
8;3;2
9;3;3
10;3;8
11;3;4
12;3;9
13;3;10
14;4;5
15;4;6
16;4;11
17;4;12
18;4;13
19;4;7
20;4;2
21;4;3
22;4;14
23;4;1
24;4;8
25;4;4
26;4;9
27;4;10
28;5;15
29;5;7
30;5;2
31;5;3
32;5;14
33;5;8
34;5;4
35;5;10
36;6;2
37;6;8
38;7;8
39;7;4
40;8;8
41;8;4
42;9;8
43;10;4
44;11;8
45;12;16
46;12;13
47;12;1
48;12;10
49;13;16
50;13;5
51;13;6
52;13;12
53;13;13
54;13;7
55;13;2
56;13;3
57;13;14
58;13;1
59;13;8
60;13;17
61;13;9
62;13;10
63;14;18
64;14;6
65;14;12
66;14;2
67;14;3
68;14;4
69;15;6
70;15;12
71;15;2
72;15;8
73;16;2
74;17;2
75;18;6
76;18;11
77;18;12
78;18;13
79;18;2
80;18;3
81;18;14
82;18;1
83;18;8
84;18;19
85;18;9
86;18;20
87;18;21
88;19;2
89;20;11
90;20;2
91;20;3
92;20;4
93;21;2
94;22;9
95;23;11
96;23;2
97;24;11
98;24;2
99;24;8
100;24;4
101;25;8
102;26;8
103;27;15
104;27;2
105;27;3
106;27;14
107;27;1
108;27;8
109;27;4
110;28;2
111;29;6
112;29;7
113;29;2
114;13;4
115;26;15
116;26;2
117;26;3
118;26;14
119;26;1
120;26;4
